,123,233,333,423
10,2440807,2506240,1527104,2171698
20,1218715,1254199,775894,1101116
30,810861,836270,523852,741655
40,606952,628471,399144,565048
50,486194,504212,336274,465259
60,405783,421256,284930,392091
70,346860,360648,249306,341869
80,302729,314890,221026,301888
90,270349,280865,200484,272866
100,241324,252743,183653,249049
110,220056,230796,169407,229789
120,201570,211918,157438,210629
130,186810,196110,147343,196738
140,173152,182959,138992,185493
150,159535,171009,132515,174628
160,152322,160397,126307,165921
170,143276,151660,120656,158457
180,134963,143413,116403,151600
190,128261,135973,112631,145062
200,121198,129490,108039,139449
210,115671,126006,106893,136057
220,109974,119953,103671,131172
230,105028,115221,100588,126829
240,100630,111409,98354,123154
250,96551,106594,95504,119152
260,93044,102971,92276,116017
270,89697,99283,91381,113687
280,86040,96236,89293,110580
290,83483,91454,87029,107801
300,80399,90708,84090,105161
310,78187,88086,83753,103747
320,75802,84730,82193,101513
330,73571,81340,80789,98759
340,71462,81005,78635,96978
350,69111,77347,77995,95141
360,67231,75118,77345,93784
370,65864,73151,77067,92802
380,63350,72213,75822,90879
390,62272,70119,74884,89643
400,60108,68798,73014,87359
410,58841,67496,71952,85798
420,57875,64751,72111,85532
430,56632,65126,72114,84607
440,54932,62888,71341,83674
450,54495,62989,71016,82880
460,53022,58889,70005,81533
470,51814,60582,69700,80827
480,51039,57124,69065,79958
490,50042,58885,68934,79302
500,48437,54610,66800,77306
510,48179,55518,66283,76567
520,47174,53777,65754,75764
530,46136,52625,65871,75515
540,45081,54140,65638,74865
550,44279,50707,65502,80394
560,43731,50648,64103,79494
570,42650,49477,63811,78834
580,42318,50546,63341,78573
590,41182,48382,62640,77717
600,40657,47594,62103,77140
610,39945,46870,61809,77626
620,39440,46500,61246,77372
630,37684,45863,61169,77166
640,38563,45479,60625,76945
650,37582,44921,59718,75997
660,37080,45834,58833,75339
670,36565,43901,58103,74890
680,36086,43604,56970,
690,35616,43153,50860,
700,34941,42716,50464,
710,35060,42303,54923,
720,33464,41814,54529,
730,32486,41418,54194,
740,33233,40879,53923,
750,32888,40536,53476,
760,32493,40243,53116,
770,30880,39530,52676,
780,31941,39619,52666,
790,31129,38932,52180,
800,29839,38563,51830,
810,30667,38203,51400,
820,28824,37945,51034,
830,30198,37649,50916,
840,28664,37538,50657,
850,28114,37287,50450,
860,28104,37245,50338,
870,27615,36676,50079,
880,27262,36254,49398,
890,27189,36284,49548,
900,27028,35917,49118,
910,26316,35322,48716,
920,26426,35593,48672,
930,25830,35020,48373,
940,25903,34972,48226,
950,26568,34670,47966,
960,25723,34581,47828,
970,25145,34228,47607,
980,25200,34052,47527,
990,24546,33765,47188,
1000,24228,33192,46726,
1010,24027,33334,46862,
1020,24194,33290,,
1030,23866,32729,,
1040,23657,32819,,
1050,23157,32338,,
1060,23208,32462,,
1070,22673,32031,,
1080,22701,32031,,
1090,22173,31521,,
1100,22499,31498,,
1110,22437,31633,,
1120,21852,31094,,
1130,22078,31044,,
1140,21491,30660,,
1150,21308,30776,,
1160,21325,30704,,
1170,20957,30273,,
1180,21308,30317,,
1190,21019,30166,,
1200,20657,28987,,
1210,20655,28941,,
1220,20275,28516,,
1230,20190,28495,,
1240,20213,28460,,
1250,19884,28018,,
1260,19803,27854,,
1270,19865,27969,,
1280,20101,27906,,
1290,19399,27538,,
1300,19594,27523,,
1310,19590,27531,,
1320,18993,27099,,
1330,19034,27166,,
1340,19288,27157,,
1350,19259,27231,,
1360,18695,26570,,
1370,18658,26564,,
1380,18744,26463,,
1390,18279,26306,,
1400,18322,26272,,
1410,18485,26150,,
1420,18414,26280,,
1430,17936,25917,,
1440,17783,25816,,
1450,17789,26002,,
1460,17974,25977,,
1470,17606,26118,,
1480,17347,25728,,
1490,17366,25694,,
1500,17564,25543,,
1510,17214,25590,,
1520,16894,25142,,
1530,16978,25148,,
1540,16865,25163,,
1550,16744,25091,,
1560,17031,25170,,
1570,16426,24823,,
1580,16570,24689,,
1590,16679,24862,,
1600,16536,24762,,
1610,16415,24892,,
1620,16155,24507,,
1630,16007,24372,,
1640,16191,24502,,
1650,16210,24440,,
1660,16189,24485,,
1670,15579,24080,,
1680,15604,24130,,
1690,15559,24162,,
1700,15769,24072,,
1710,15726,24089,,
1720,15531,24096,,
1730,15245,23708,,
1740,15159,23707,,
1750,15068,23705,,
1760,15219,23726,,
1770,15274,23705,,
1780,15082,23785,,
1790,14774,23292,,
1800,14753,23434,,
1810,14759,23423,,
1820,14662,23330,,
1830,14739,23289,,
1840,14873,23208,,
1850,14664,23299,,
1860,14345,22834,,
1870,14266,22866,,
1880,14406,22837,,
1890,14406,22751,,
1900,14286,22876,,
1910,14358,22892,,
1920,14284,22867,,
1930,13927,22533,,
1940,13970,22564,,
1950,13925,22593,,
1960,13781,22652,,
1970,13918,22703,,
1980,13836,22629,,
1990,13879,22666,,
2000,13512,22341,,
2010,13403,22350,,
2020,13547,22229,,
2030,13299,22290,,
2040,13341,22277,,
2050,13426,22343,,
2060,13407,22401,,
2070,13470,20149,,
2080,13457,20043,,
2090,13029,19901,,
2100,12942,19778,,
2110,12977,19871,,
2120,12967,19801,,
2130,13073,19882,,
2140,13071,19921,,
2150,13019,19828,,
2160,13144,19779,,
2170,13044,19855,,
2180,12584,19476,,
2190,12549,19426,,
2200,12616,19492,,
2210,12583,19415,,
2220,12582,19532,,
2230,12756,19444,,
2240,12718,19428,,
2250,12677,19419,,
2260,12646,19452,,
2270,12868,19528,,
2280,12330,19215,,
2290,12198,19218,,
2300,12204,19150,,
2310,12251,19126,,
2320,12167,19108,,
2330,12358,19066,,
2340,12293,19140,,
2350,12199,19282,,
2360,12197,,,
2370,12348,,,
2380,12358,,,
2390,11738,,,
2400,11823,,,
2410,11870,,,
2420,11886,,,
2430,11917,,,
2440,11802,,,
2450,11787,,,
2460,11928,,,
2470,11881,,,
2480,11873,,,
2490,11908,,,
2500,11434,,,
2510,11530,,,
2520,11473,,,
2530,11531,,,
2540,11590,,,
2550,11443,,,
2560,11468,,,
2570,11566,,,
2580,11495,,,
2590,11537,,,
2600,11471,,,
2610,11488,,,
2620,11482,,,
2630,11646,,,
2640,11027,,,
2650,11113,,,
2660,11109,,,
2670,11266,,,
2680,11118,,,
2690,11111,,,
2700,11230,,,
2710,11088,,,
2720,11176,,,
2730,11090,,,
2740,11068,,,
2750,11144,,,
2760,11182,,,
2770,11099,,,
2780,10680,,,
2790,10771,,,
2800,10813,,,
2810,10804,,,
2820,10841,,,
2830,10818,,,
2840,10708,,,
2850,10746,,,
2860,10706,,,
2870,10802,,,
2880,10726,,,
2890,10785,,,
2900,10749,,,
2910,10734,,,
2920,10911,,,
2930,10819,,,
2940,10900,,,
2950,10297,,,
2960,10331,,,
2970,10352,,,
2980,10395,,,
2990,10308,,,
3000,10365,,,
3010,10425,,,
3020,10366,,,
3030,10404,,,
3040,10378,,,
3050,10305,,,
3060,10379,,,
3070,10403,,,
3080,10381,,,
3090,10415,,,
3100,10349,,,
3110,10414,,,
3120,10429,,,
3130,9934,,,
3140,9953,,,
3150,9974,,,
3160,9951,,,
3170,10032,,,
3180,10114,,,
3190,10121,,,
3200,10011,,,
3210,10176,,,
3220,9959,,,
3230,9977,,,
3240,10174,,,
3250,10053,,,
3260,10000,,,
3270,10094,,,
3280,10041,,,
3290,10031,,,
3300,10071,,,
3310,10042,,,
3320,10115,,,
3330,10080,,,
3340,9632,,,
3350,9522,,,
3360,9626,,,
3370,9580,,,
3380,9638,,,
3390,9654,,,
3400,9626,,,
3410,9755,,,
3420,9796,,,
3430,9676,,,
3440,9713,,,
3450,9648,,,
3460,9598,,,
3470,9641,,,
3480,9680,,,
3490,9733,,,
3500,9790,,,
3510,9607,,,
3520,9654,,,
3530,9754,,,
3540,9741,,,
3550,9707,,,
3560,9730,,,
3570,9741,,,
3580,9306,,,
3590,9281,,,
3600,9242,,,
3610,9341,,,
3620,9234,,,
3630,9301,,,
3640,9264,,,
3650,9330,,,
3660,9436,,,
3670,9274,,,
3680,9308,,,
3690,9373,,,
3700,9371,,,
3710,9373,,,
3720,9368,,,
3730,9355,,,
3740,9411,,,
3750,9397,,,
3760,9330,,,
3770,9362,,,
3780,9299,,,
3790,9359,,,
3800,9355,,,
3810,9336,,,
3820,9462,,,
3830,9364,,,
3840,9415,,,
3850,8922,,,
3860,8910,,,
3870,8931,,,
3880,8918,,,
3890,9016,,,
3900,8967,,,
3910,8968,,,
3920,8977,,,
3930,8883,,,
3940,8914,,,
3950,8945,,,
3960,9013,,,
3970,9121,,,
3980,9046,,,
3990,9011,,,
4000,9031,,,
4010,8976,,,
4020,8952,,,
4030,8981,,,
4040,9075,,,
4050,9004,,,
4060,9038,,,
4070,9004,,,
4080,8994,,,
4090,8973,,,
4100,9021,,,
4110,9129,,,
4120,9066,,,
4130,9021,,,
4140,9114,,,
4150,9096,,,
4160,8996,,,
4170,8648,,,
4180,8581,,,
4190,8614,,,
4200,8587,,,
4210,8609,,,
4220,8540,,,
4230,8583,,,
4240,8579,,,
4250,8592,,,
4260,8563,,,
4270,8579,,,
4280,8653,,,
4290,8641,,,
4300,8746,,,
4310,8750,,,
4320,8618,,,
4330,8617,,,
4340,8667,,,
4350,8670,,,
4360,8698,,,
4370,8713,,,
4380,8717,,,
4390,8647,,,
4400,8681,,,
4410,8686,,,
4420,8727,,,
4430,8680,,,
4440,8732,,,
4450,8698,,,
4460,8754,,,
4470,8679,,,
4480,8660,,,
4490,8785,,,
4500,8756,,,
4510,8698,,,
4520,8747,,,
4530,8778,,,
4540,8785,,,
4550,8302,,,
4560,8319,,,
4570,8292,,,
4580,8380,,,
4590,8398,,,
4600,8349,,,
4610,8299,,,
4620,8345,,,
4630,8327,,,
4640,8362,,,
4650,8367,,,
4660,8291,,,
4670,8329,,,
4680,8403,,,
4690,8376,,,
4700,8331,,,
4710,8342,,,
4720,8413,,,
4730,8372,,,
4740,8339,,,
4750,8449,,,
4760,8310,,,
4770,8397,,,
4780,8352,,,
4790,8347,,,
4800,8358,,,
4810,8405,,,
4820,8405,,,
4830,8457,,,
4840,8361,,,
4850,8401,,,
4860,8323,,,
4870,8373,,,
4880,8365,,,
4890,8438,,,
4900,8449,,,
4910,8421,,,
4920,8461,,,
4930,8400,,,
4940,8453,,,
4950,8415,,,
4960,8425,,,
4970,8437,,,
4980,8429,,,
4990,8452,,,
5000,8007,,,
5010,7959,,,
5020,7997,,,
5030,8030,,,
5040,8013,,,
5050,7967,,,
5060,8005,,,
5070,8046,,,
5080,8093,,,
5090,7964,,,
5100,8011,,,
5110,8002,,,
5120,7968,,,
5130,8044,,,
5140,8049,,,
5150,8007,,,
5160,8059,,,
5170,8059,,,
5180,8034,,,
5190,8016,,,
5200,8064,,,
5210,8051,,,
5220,8047,,,
5230,8140,,,
5240,8038,,,
5250,8049,,,
5260,8118,,,
5270,7995,,,
5280,8089,,,
5290,8080,,,
5300,8028,,,
5310,8091,,,
5320,8023,,,
5330,8037,,,
5340,8032,,,
5350,8052,,,
5360,8163,,,
5370,8091,,,
5380,8167,,,
5390,8096,,,
5400,8067,,,
5410,8027,,,
5420,8155,,,
5430,8088,,,
5440,8148,,,
5450,8096,,,
5460,8157,,,
5470,8062,,,
5480,8140,,,
5490,8127,,,
5500,8160,,,
5510,8172,,,
5520,8148,,,
5530,8133,,,
5540,8131,,,
5550,8112,,,
5560,7701,,,
5570,7717,,,
5580,7720,,,
5590,7739,,,
5600,7685,,,
5610,7728,,,
5620,7711,,,
5630,7730,,,
5640,7724,,,
5650,7746,,,
5660,7767,,,
5670,7689,,,
5680,7696,,,
5690,7782,,,
5700,7714,,,
5710,7738,,,
5720,7794,,,
5730,7723,,,
5740,7789,,,
5750,7734,,,
5760,7736,,,
5770,7768,,,
5780,7749,,,
5790,7832,,,
5800,7804,,,
5810,7783,,,
5820,7816,,,
5830,7815,,,
5840,7838,,,
5850,7821,,,
5860,7773,,,
5870,7805,,,
5880,7798,,,
5890,7775,,,
5900,7801,,,
5910,7886,,,
5920,7797,,,
5930,7743,,,
5940,7798,,,
5950,7795,,,
5960,7846,,,
5970,7812,,,
5980,7817,,,
5990,7814,,,
6000,7782,,,
6010,7800,,,
6020,7865,,,
6030,7866,,,
6040,7889,,,
6050,7876,,,
6060,7842,,,
6070,7762,,,
6080,7812,,,
6090,7914,,,
6100,7815,,,
6110,7904,,,
6120,7844,,,
6130,7885,,,
6140,7824,,,
6150,7931,,,
6160,7912,,,
6170,8001,,,
6180,7990,,,
6190,7946,,,
6200,7900,,,
6210,7995,,,
6220,7968,,,
6230,8006,,,
6240,8026,,,
6250,7499,,,
6260,7500,,,
6270,7564,,,
6280,7527,,,
6290,7557,,,
6300,7600,,,
6310,7561,,,
6320,7579,,,
6330,7569,,,
6340,7503,,,
6350,7683,,,
6360,7578,,,
6370,7570,,,
6380,7640,,,
6390,7575,,,
6400,7607,,,
6410,7600,,,
6420,7538,,,
6430,7548,,,
6440,7563,,,
6450,7626,,,
6460,7571,,,
6470,7599,,,
6480,7577,,,
6490,7611,,,
6500,7588,,,
6510,7653,,,
6520,7550,,,
6530,7622,,,
6540,7553,,,
6550,7644,,,
6560,7632,,,
6570,7596,,,
6580,7670,,,
6590,7651,,,
6600,7641,,,
6610,7627,,,
6620,7651,,,
6630,7614,,,
6640,7686,,,
6650,7703,,,
6660,7682,,,
6670,7643,,,
6680,7622,,,
6690,7795,,,
6700,7648,,,
6710,7670,,,
6720,7691,,,
6730,7675,,,
6740,7688,,,
6750,7636,,,
6760,7743,,,
6770,7647,,,
6780,7740,,,
6790,7698,,,
6800,7723,,,
6810,7680,,,
6820,7787,,,
6830,7696,,,
6840,7718,,,
6850,7775,,,
6860,7811,,,
6870,7775,,,
6880,7731,,,
6890,7780,,,
6900,7699,,,
6910,7776,,,
6920,7810,,,
6930,7739,,,
6940,7765,,,
6950,7799,,,
6960,7759,,,
6970,7802,,,
6980,7782,,,
6990,7796,,,
7000,7760,,,
7010,7831,,,
7020,7799,,,
7030,7795,,,
7040,7784,,,
7050,7792,,,
7060,7810,,,
7070,7821,,,
7080,7787,,,
7090,7776,,,
7100,7862,,,
7110,7791,,,
7120,7865,,,
7130,7790,,,
7140,7849,,,
7150,7396,,,
7160,7424,,,
7170,7411,,,
7180,7489,,,
7190,7439,,,
7200,7426,,,
7210,7383,,,
7220,7437,,,
7230,7472,,,
7240,7461,,,
7250,7429,,,
7260,7423,,,
7270,7401,,,
7280,7480,,,
7290,7424,,,
7300,7432,,,
7310,7465,,,
7320,7467,,,
7330,7446,,,
7340,7443,,,
7350,7464,,,
7360,7459,,,
7370,7451,,,
7380,7472,,,
7390,7514,,,
7400,7461,,,
7410,7427,,,
7420,7409,,,
7430,7423,,,
7440,7417,,,
7450,7445,,,
7460,7451,,,
7470,7409,,,
7480,7471,,,
7490,7458,,,
7500,7461,,,
7510,7383,,,
7520,7400,,,
7530,7409,,,
7540,7390,,,
7550,7469,,,
7560,7368,,,
7570,7458,,,
7580,7426,,,
7590,7473,,,
7600,7431,,,
7610,7446,,,
7620,7443,,,
7630,7474,,,
7640,7482,,,
7650,7478,,,
7660,7434,,,
7670,7468,,,
7680,7406,,,
7690,7451,,,
7700,7423,,,
7710,7455,,,
7720,7449,,,
7730,7476,,,
7740,7426,,,
7750,7486,,,
7760,7471,,,
7770,7507,,,
7780,7478,,,
7790,7480,,,
7800,7507,,,
7810,7542,,,
7820,7490,,,
7830,7541,,,
7840,7490,,,
7850,7479,,,
7860,7481,,,
7870,7479,,,
7880,7508,,,
7890,7507,,,
7900,7577,,,
7910,7564,,,
7920,7515,,,
7930,7507,,,
7940,7579,,,
7950,7503,,,
7960,7586,,,
7970,7516,,,
7980,7483,,,
7990,7589,,,
8000,7629,,,
8010,7541,,,
8020,7583,,,
8030,7528,,,
8040,7534,,,
8050,7554,,,
8060,7582,,,
8070,7563,,,
8080,7559,,,
8090,7622,,,
8100,7569,,,
8110,7594,,,
8120,7511,,,
8130,7606,,,
8140,7561,,,
8150,7605,,,
8160,7596,,,
8170,7595,,,
8180,7549,,,
8190,7578,,,
8200,7585,,,
8210,7574,,,
8220,7588,,,
8230,7578,,,
8240,7590,,,
8250,7604,,,
8260,7642,,,
8270,7589,,,
8280,7613,,,
8290,7638,,,
8300,7658,,,
8310,7587,,,
8320,7598,,,
8330,7606,,,
8340,7338,,,
8350,7353,,,
8360,7334,,,
8370,7324,,,
8380,7316,,,
8390,7383,,,
8400,7383,,,
8410,7393,,,
8420,7354,,,
8430,7354,,,
8440,7357,,,
8450,7349,,,
8460,7300,,,
8470,7367,,,
8480,7222,,,
8490,7214,,,
8500,7188,,,
8510,7248,,,
8520,7195,,,
8530,7227,,,
8540,7204,,,
8550,7334,,,
8560,7295,,,
8570,7239,,,
8580,7255,,,
8590,7242,,,
8600,7327,,,
8610,7190,,,
8620,7195,,,
8630,7237,,,
8640,7209,,,
8650,7227,,,
8660,7262,,,
8670,7254,,,
8680,7190,,,
8690,7299,,,
8700,7307,,,
8710,7308,,,
8720,7281,,,
8730,7270,,,
8740,7251,,,
8750,7332,,,
8760,7224,,,
8770,7279,,,
8780,7244,,,
8790,7410,,,
8800,7382,,,
